Timestamp,bpm,sdnn,rmssd,pnn50(%),label
1774206710,81.36,133.07,155.13,75,0
1774206710,79.56,131.95,177.11,75,0
1774206710,76.72,100.65,128.52,72.73,0
1774206710,76.64,101.04,128.59,72.73,0
1774206710,76.8,99.5,126.37,72.73,0
1774206710,78.05,102.51,139.85,75,0
1774206710,77.31,107.03,144.49,75,0
1774206710,77.97,98.45,133.46,75,0
1774206710,78.45,101.93,139.17,66.67,0
1774206710,77.47,94.46,125.01,75,0
1774206710,78.3,96.81,130.41,66.67,0
1774206710,79.67,108.93,137.01,75,0
1774206710,78.63,110.69,128.45,75,0
1774206710,79.81,113.36,139.76,75,0
1774206710,79.99,118.25,145.76,75,0
1774206710,78.15,131.45,140.74,75,0
1774206710,79.69,112.09,137.29,75,0
1774206710,79.89,115.93,142.83,75,0
1774206710,80.23,123.14,151.4,75,0
1774206710,77.77,100.09,136.67,72.73,0
1774206710,76.83,162.62,162.01,75,0
1774206710,82.98,146.85,167.1,76.92,0
1774206710,80.24,123.8,149.07,75,0
1774206710,77.8,98.59,129.35,72.73,0
1774206710,77.74,98.21,129.15,72.73,0
1774206710,79.47,107.78,132.29,75,0
1774206710,77.61,98.57,132.15,72.73,0
1774206710,78.68,99.42,128.17,75,0
1774206711,77.47,97.75,131.5,72.73,0
1774206711,77.48,98.71,134.43,72.73,0
1774206711,77.85,99.55,128.26,72.73,0
1774206711,77.64,94.8,129.02,75,0
1774206711,78.72,102.44,131.92,75,0
1774206711,77.61,98.62,132.69,72.73,0
1774206711,78.09,95.43,123.78,66.67,0
1774206711,76.11,104.25,128.53,72.73,0
1774206711,76.04,105.33,130.55,72.73,0
1774206711,76.84,110.1,134.35,75,0
1774206711,76.71,110.4,135.36,75,0
1774206711,75.62,112.5,138.69,72.73,0
1774206711,75.94,108.74,133.83,72.73,0
1774206711,75.83,112.16,138.34,72.73,0
1774206711,75.35,119.17,145.65,72.73,0
1774206711,75.8,113.21,139.28,72.73,0
1774206711,75.75,111.52,136.36,72.73,0
1774206711,73.06,82.88,114.9,72.73,0
1774206711,75.89,108.09,133.91,72.73,0
1774206711,75.71,109.35,134.68,72.73,0
1774206711,75.67,109.91,135.36,72.73,0
1774206711,71.2,177.78,216.99,72.73,0
1774206711,79.44,157.35,217.6,75,0
1774206711,78.87,149.1,208.93,75,0
1774206711,75.82,113.89,139.99,72.73,0
1774206711,79.54,159.09,218.31,75,0
1774206711,79.58,160.08,220.85,75,0
1774206711,76.06,132.36,159.06,72.73,0
1774206711,76.14,131.01,155.63,72.73,0
1774206711,77.21,124.73,165.49,75,0
1774206712,77.24,130.32,169.28,75,0
1774206712,76.63,125.96,162.11,75,0
1774206712,74.32,91.86,147.06,72.73,0
1774206712,74.4,91.22,146.31,72.73,0
1774206712,74.31,93.67,151.64,72.73,0
1774206712,73.13,87.48,127.22,72.73,0
1774206712,74.15,91.2,146.6,72.73,0
1774206712,73.88,88.21,139.34,72.73,0
1774206712,73.87,89.41,141.74,72.73,0
