1774206129.0923655,83.06,242.33,265.62,0
1774206129.1195755,83.1,242.35,266.86,0
1774206129.1494524,83.06,243.59,266.44,0
1774206129.1829193,83.1,242.61,266.77,0
1774206129.2294114,86.07,248.61,256.05,0
1774206129.2622702,83.13,242.56,264.94,0
1774206129.2928247,83.13,242.17,265.92,0
1774206129.327782,83.16,242.79,264.58,0
1774206129.3575172,83.13,242.18,265.93,0
1774206129.3900714,83.06,244.01,265.12,0
1774206129.4245348,83.15,242.8,265.87,0
1774206129.4547675,83.74,234.78,290.67,0
1774206129.4853337,83.57,234.36,288.45,0
1774206129.51751,83.07,243.38,265.12,0
1774206129.5503004,83.47,233.27,289.2,0
1774206129.5969775,83.43,231.6,286.28,0
1774206129.6297548,83.33,232.5,282.86,0
1774206129.6605766,77.19,209.67,290.22,0
1774206129.6940074,82.1,236.18,267.36,0
1774206129.7263763,78.95,225.96,276.08,0
1774206129.7595909,78.86,228.3,275.71,0
1774206129.7903347,78.98,228.77,276.88,0
1774206129.8223424,78.94,227.22,274.23,0
1774206129.8550575,80.83,238.07,311.63,0
1774206129.8873308,78.77,224.32,272.86,0
1774206129.9173682,78.78,222.91,272.32,0
1774206129.9670625,77.17,243.32,264.15,0
1774206129.9981434,78.57,221.41,271.21,0
1774206130.029915,78.67,221.69,272.08,0
1774206130.0630553,76.29,217.25,277.23,0
1774206130.0945024,78.95,225.79,274.4,0
1774206130.1249537,78.95,224.36,288.37,0
1774206130.1597126,79.16,227.74,293.64,0
1774206130.1924956,79.07,224.68,289.74,0
1774206130.2220275,79.45,231.93,298.92,0
1774206130.254077,83.3,241.84,325.68,0
1774206130.2868912,83.4,242.28,325.58,0
1774206130.318986,79.3,230.79,298.1,0
1774206130.366584,77.33,211.12,271.83,0
1774206130.4010954,77.01,209.61,269.36,0
1774206130.4354103,79.4,232.19,299.26,0
1774206130.4669418,76.23,207.15,260.01,0
1774206130.4960804,76.07,206.86,258.85,0
1774206130.5328925,78.38,227.82,311.36,0
1774206130.563629,79.35,228.77,295.06,0
1774206130.5948582,81.46,244.97,337.67,0
1774206130.6247475,83.82,245.73,323.18,0
1774206130.658846,87.0,217.3,246.45,0
1774206130.6910017,80.74,235.72,319.62,0
1774206130.7382123,82.91,238.32,320.39,0
1774206130.765727,86.28,214.82,252.36,0
1774206130.800873,82.2,202.88,223.46,0
1774206130.834715,85.71,211.94,253.94,0
1774206130.8690157,85.29,212.11,258.92,0
1774206130.8995278,79.47,231.32,280.61,0
1774206130.9344852,80.39,235.49,273.19,0
1774206130.9639614,80.02,232.39,274.97,0
1774206130.9920442,86.12,213.29,250.94,0
1774206131.024159,79.95,239.13,278.77,0
1774206131.0561225,77.72,232.95,302.54,0
1774206131.1054883,85.85,209.52,244.05,0
1774206131.136382,80.53,234.19,270.63,0
1774206131.1661923,80.96,226.76,262.68,0
1774206131.198835,81.12,223.5,259.72,0
1774206131.2319696,82.55,227.47,255.63,0
1774206131.2638018,82.35,228.66,257.93,0
