timestamp,bpm,sdnn,rmssd,label
1771594103,73.96,188.85,304.37,0
1771594103,73.2,243.63,224.78,0
1771594103,69.73,218.56,225.24,0
1771594103,69.42,214.66,221.35,0
1771594103,68.94,203.09,208.04,0
1771594103,76.24,198.12,310.49,0
1771594103,77.36,216.93,328.29,0
1771594103,65.1,156.68,160.99,0
1771594103,76.62,205.78,319.21,0
1771594103,73.91,172.09,286.4,0
1771594103,74.15,172.95,286.86,0
1771594103,66.29,154.98,155.98,0
1771594103,72.49,178.11,297.22,0
1771594103,66.59,160.82,160.79,0
1771594103,75.97,217.6,335.6,0
1771594103,67.53,217.06,229.1,0
1771594103,77.04,209.04,327.03,0
1771594103,77.66,212.78,322.42,0
1771594103,73.14,181.56,301.31,0
1771594104,73.14,181.56,301.31,0
1771594104,68.75,209.48,241.37,0
1771594104,76.86,208.27,328.58,0
1771594104,69.18,213.24,234.01,0
1771594104,76.08,205.99,344.39,0
1771594104,68.24,206.33,251.58,0
1771594104,76.39,206.85,333.28,0
1771594104,76.19,206.55,335.51,0
1771594104,68.57,208.19,244.83,0
1771594104,76.61,205.78,337.98,0
1771594104,76.79,216.83,351.93,0
1771594104,77.02,217.08,349.53,0
1771594104,68.46,221.92,251.79,0
1771594104,68.26,220.5,255.58,0
1771594104,71.5,236.38,254.38,0
1771594104,71.08,230.13,249.5,0
1771594104,86.21,214.92,265.37,0
1771594104,85.33,219.59,270.6,0
1771594104,87.39,215.82,268.23,0
1771594104,86.88,213.11,264.53,0
1771594104,78.87,216.33,336.67,0
1771594104,76.28,207.98,331.36,0
1771594104,78.98,221.44,347.62,0
1771594104,68.51,206.17,238.67,0
1771594104,68.09,207.99,243.62,0
1771594105,75.81,211.66,342.52,0
1771594105,68.23,212.01,235.11,0
1771594105,68.52,213.09,234.2,0
1771594105,76.61,207.45,330.78,0
1771594105,84.57,212.65,254.77,0
1771594105,85.05,219.52,258.2,0
1771594105,88.89,213.49,253.42,0
1771594105,88.72,214.02,253.35,0
1771594105,85.53,221.24,255.43,0
1771594105,82.58,219.84,269.39,0
1771594105,82.8,219.07,268.86,0
1771594105,82.19,224.93,271.15,0
1771594105,82.19,221.54,270.68,0
1771594105,84.01,211.15,262.67,0
1771594105,83.44,216.94,279.74,0
1771594105,83.44,222.08,298.08,0
1771594105,83.03,219.74,299.67,0
1771594105,83.03,221.74,306.98,0
1771594105,80.19,214.14,321.88,0
1771594105,83.44,220.54,294.53,0
1771594105,79.84,205.19,306.79,0
1771594105,79.84,200.93,291,0
1771594105,80.19,200.19,282.86,0
1771594105,79.84,195.06,278.83,0
1771594105,80.19,205.92,294.87,0
1771594105,80.19,210.08,310.46,0
1771594105,79.84,207.01,310.57,0
1771594106,79.84,207.01,310.57,0
1771594106,81.44,201.16,304.11,0
1771594106,81.77,205.48,307.44,0
1771594106,81.57,204.31,305.73,0
1771594106,81.12,202.14,302.19,0
1771594106,77.81,184.5,299.34,0
1771594106,78.35,185.75,307.18,0
1771594106,78.19,184.89,306.05,0
1771594106,77.65,183.59,298.18,0
1771594106,77.65,176.06,283.58,0
1771594106,78.27,180.52,288.97,0
1771594106,78.01,181.04,286.16,0
1771594106,78.27,175.65,272.14,0
1771594106,78.27,183.2,287.32,0
1771594106,80.71,197.7,328.44,0
1771594106,80.8,201.97,261.49,0
1771594106,80.66,200.13,260.44,0
1771594106,82.64,202.94,321.31,0
1771594106,82.2,197.29,324.96,0
1771594106,79.9,194.85,276.2,0
1771594106,81.1,194.07,273.07,0
1771594106,83.2,205.19,331.02,0
1771594106,79.71,183.37,272.05,0
1771594106,79.57,182.65,272.35,0
1771594106,80.33,187.29,271.68,0
1771594107,79.51,202.08,280.79,0
1771594107,76.15,200.48,300.32,0
1771594107,76.51,193.82,296.03,0
1771594107,80.33,187.29,271.68,0
1771594107,80.65,182.11,268.77,0
1771594107,82.27,160.87,259.27,0
1771594107,83.09,155.05,246.58,0
1771594107,81.74,170,253.34,0
1771594107,82.1,165.05,250.81,0
1771594107,84.21,149.32,262.56,0
1771594107,83.99,150.26,265.04,0
